case,store,a,b,store_selection,display,discount,feedback
1,Store A (6) vs Store B (12),4,2,a,1,1,0
,Store A (6) vs Store B (12),5,3,a,1,1,0
,Store A (6) vs Store B (12),4,2,a,1,1,0
2,Store A (3) vs Store B (13),2,4,b,0,0,1
,Store A (3) vs Store B (13),5,5,b,0,0,1
,Store A (3) vs Store B (13),3,5,b,0,0,1
,Store A (3) vs Store B (13),3,4,b,0,0,1
,Store A (3) vs Store B (13),2,4,b,0,0,1
,Store A (3) vs Store B (13),3,2,b,0,0,1
3,Store A (5) vs Store B (12) ,4,3,a,1,0,0
,Store A (5) vs Store B (12) ,4,2,a,1,0,0
,Store A (5) vs Store B (12) ,3,3,b,1,0,0
,Store A (5) vs Store B (12) ,4,3,a,1,0,0
,Store A (5) vs Store B (12) ,5,2,b,1,0,0
4,Store A (6) vs Store B (15) ,4,3,a,1,1,0
,Store A (6) vs Store B (15) ,4,3,a,1,1,0
,Store A (6) vs Store B (15) ,4,2,a,1,1,0
,Store A (6) vs Store B (15) ,5,1,a,1,1,0
5,Store A (2) vs Store B (13),4,2,a,1,1,1
,Store A (2) vs Store B (13),3,4,b,1,1,1
,Store A (2) vs Store B (13),4,3,a,1,1,1
,Store A (2) vs Store B (13),2,4,b,1,1,1
,Store A (2) vs Store B (13),5,4,a,1,1,1
,Store A (2) vs Store B (13),4,2,a,1,1,1
6,Store A (6) vs Store B (9),4,3,a,1,1,0
,Store A (6) vs Store B (9),3,4,b,1,1,0
,Store A (6) vs Store B (9),4,3,a,1,1,0
7,Store A (1) vs Store B (14),3,5,b,1,0,1
,Store A (1) vs Store B (14),3,4,b,1,0,1
,Store A (1) vs Store B (14),4,2,a,1,0,1
1,Store A (2) vs Store B (9),5,3,b,1,1,1
,Store A (2) vs Store B (9),5,3,b,1,1,1
,Store A (2) vs Store B (9),5,2,b,1,1,1
2,Store A (5) vs Store B (16),3,3,a,1,0,0
,Store A (5) vs Store B (16),5,5,b,1,0,0
,Store A (5) vs Store B (16),3,4,b,1,0,0
,Store A (5) vs Store B (16),4,5,b,1,0,0
,Store A (5) vs Store B (16),3,4,b,1,0,0
,Store A (5) vs Store B (16),3,2,a,1,0,0
3,Store A (6) vs Store B (16),5,3,a,1,1,0
,Store A (6) vs Store B (16),4,2,a,1,1,0
,Store A (6) vs Store B (16),5,2,a,1,1,0
,Store A (6) vs Store B (16),5,3,a,1,1,0
,Store A (6) vs Store B (16),4,2,a,1,1,0
4,Store A (4) vs Store B (10),2,4,b,0,1,1
,Store A (4) vs Store B (10),5,5,a,0,1,1
,Store A (4) vs Store B (10),3,4,b,0,1,1
,Store A (4) vs Store B (10),5,3,b,0,1,1
5,Store A (3) vs Store B (12),2,4,b,0,0,1
,Store A (3) vs Store B (12),4,3,a,0,0,1
,Store A (3) vs Store B (12),4,2,b,0,0,1
,Store A (3) vs Store B (12),2,3,b,0,0,1
,Store A (3) vs Store B (12),4,3,a,0,0,1
,Store A (3) vs Store B (12),2,4,b,0,0,1
6,Store A (5) vs Store B (14),3,4,b,1,0,0
,Store A (5) vs Store B (14),4,3,a,1,0,0
,Store A (5) vs Store B (14),3,2,a,1,0,0
7,Store A (2) vs Store B (11),5,3,a,1,1,1
,Store A (2) vs Store B (11),5,4,a,1,1,1
,Store A (2) vs Store B (11),4,1,a,1,1,1
1,Store A (5) vs Store B (15),3,2,a,1,0,0
,Store A (5) vs Store B (15),4,3,a,1,0,0
,Store A (5) vs Store B (15),3,1,a,1,0,0
2,Store A (4) vs Store B (14),2,3,b,0,1,1
,Store A (4) vs Store B (14),5,5,b,0,1,1
,Store A (4) vs Store B (14),2,5,b,0,1,1
,Store A (4) vs Store B (14),4,5,b,0,1,1
,Store A (4) vs Store B (14),3,5,b,0,1,1
,Store A (4) vs Store B (14),4,3,a,0,1,1
3,Store A (8) vs Store B (15),3,2,a,0,1,0
,Store A (8) vs Store B (15),3,3,a,0,1,0
,Store A (8) vs Store B (15),3,3,a,0,1,0
,Store A (8) vs Store B (15),4,3,a,0,1,0
,Store A (8) vs Store B (15),4,1,a,0,1,0
4,Store A (5) vs Store B (11),4,2,a,1,0,0
,Store A (5) vs Store B (11),5,2,a,1,0,0
,Store A (5) vs Store B (11),4,2,b,1,0,0
,Store A (5) vs Store B (11),2,4,b,1,0,0
5,Store A (4) vs Store B (16),2,5,b,0,1,1
,Store A (4) vs Store B (16),3,4,b,0,1,1
,Store A (4) vs Store B (16),4,3,a,0,1,1
,Store A (4) vs Store B (16),2,4,b,0,1,1
,Store A (4) vs Store B (16),4,4,b,0,1,1
,Store A (4) vs Store B (16),4,2,a,0,1,1
6,Store A (7) vs Store B (11),3,3,b,0,0,0
,Store A (7) vs Store B (11),3,4,b,0,0,0
,Store A (7) vs Store B (11),2,1,b,0,0,0
7,Store A (3) vs Store B (16),3,5,b,0,0,1
,Store A (3) vs Store B (16),2,4,b,0,0,1
,Store A (3) vs Store B (16),2,2,b,0,0,1
1,Store A (7) vs Store B (10),2,5,b,0,0,0
,Store A (7) vs Store B (10),3,5,b,0,0,0
,Store A (7) vs Store B (10),5,1,a,0,0,0
2,Store A (6) vs Store B (11),3,2,a,1,1,0
,Store A (6) vs Store B (11),5,5,a,1,1,0
,Store A (6) vs Store B (11),4,3,a,1,1,0
,Store A (6) vs Store B (11),5,4,a,1,1,0
,Store A (6) vs Store B (11),5,2,a,1,1,0
,Store A (6) vs Store B (11),4,2,a,1,1,0
3,Store A (7) vs Store B (13),1,3,b,0,0,0
,Store A (7) vs Store B (13),3,4,b,0,0,0
,Store A (7) vs Store B (13),2,4,b,0,0,0
,Store A (7) vs Store B (13),4,2,b,0,0,0
,Store A (7) vs Store B (13),1,2,b,0,0,0
4,Store A (8) vs Store B (14),4,2,b,0,1,0
,Store A (8) vs Store B (14),2,5,b,0,1,0
,Store A (8) vs Store B (14),1,3,b,0,1,0
,Store A (8) vs Store B (14),4,3,b,0,1,0
5,Store A (1) vs Store B(15) ,4,2,a,1,0,1
,Store A (1) vs Store B(15) ,4,2,a,1,0,1
,Store A (1) vs Store B(15) ,3,3,a,1,0,1
,Store A (1) vs Store B(15) ,2,4,b,1,0,1
,Store A (1) vs Store B(15) ,3,3,b,1,0,1
,Store A (1) vs Store B(15) ,4,2,a,1,0,1
6,Store A (1) vs Store B (12),3,4,b,1,0,1
,Store A (1) vs Store B (12),4,3,a,1,0,1
,Store A (1) vs Store B (12),4,3,a,1,0,1
7,Store A (4) vs Store B (15),5,3,a,0,1,1
,Store A (4) vs Store B (15),3,3,a,0,1,1
,Store A (4) vs Store B (15),2,2,a,0,1,1
1,Store A (8) vs Store B (13),4,3,b,0,1,0
,Store A (8) vs Store B (13),4,4,a,0,1,0
,Store A (8) vs Store B (13),3,2,b,0,1,0
2, Store A (8) vs Store B (12),2,4,b,0,1,0
, Store A (8) vs Store B (12),5,5,a,0,1,0
, Store A (8) vs Store B (12),4,3,a,0,1,0
, Store A (8) vs Store B (12),4,5,a,0,1,0
, Store A (8) vs Store B (12),3,4,b,0,1,0
, Store A (8) vs Store B (12),3,2,b,0,1,0
3,Store A (4) vs Store B (9),2,3,b,0,1,1
,Store A (4) vs Store B (9),3,4,b,0,1,1
,Store A (4) vs Store B (9),4,4,b,0,1,1
,Store A (4) vs Store B (9),4,3,b,0,1,1
,Store A (4) vs Store B (9),4,3,a,0,1,1
4,Store A (7) vs Store B (16),3,5,b,0,0,0
,Store A (7) vs Store B (16),2,5,b,0,0,0
,Store A (7) vs Store B (16),1,3,b,0,0,0
,Store A (7) vs Store B (16),3,1,b,0,0,0
5,Store A (5) vs Store B (9),2,4,a,1,0,0
,Store A (5) vs Store B (9),4,3,a,1,0,0
,Store A (5) vs Store B (9),3,4,b,1,0,0
,Store A (5) vs Store B (9),4,2,a,1,0,0
,Store A (5) vs Store B (9),3,4,a,1,0,0
,Store A (5) vs Store B (9),2,4,b,1,0,0
6,Store A (8) vs Store B (10),3,4,b,0,1,0
,Store A (8) vs Store B (10),4,3,b,0,1,0
,Store A (8) vs Store B (10),5,3,b,0,1,0
7,Store A (5) vs Store B (10),3,5,b,1,0,0
,Store A (5) vs Store B (10),5,4,b,1,0,0
,Store A (5) vs Store B (10),4,4,b,1,0,0
1,Store A (3) vs Store B (14),3,5,b,0,0,1
,Store A (3) vs Store B (14),3,5,b,0,0,1
,Store A (3) vs Store B (14),5,2,b,0,0,1
2,Store A (7) vs Store B (9),3,2,a,0,0,0
,Store A (7) vs Store B (9),5,5,a,0,0,0
,Store A (7) vs Store B (9),3,4,b,0,0,0
,Store A (7) vs Store B (9),3,4,b,0,0,0
,Store A (7) vs Store B (9),3,4,b,0,0,0
,Store A (7) vs Store B (9),4,1,b,0,0,0
3,Store A (1) vs Store B (11),3,2,a,1,0,1
,Store A (1) vs Store B (11),4,3,a,1,0,1
,Store A (1) vs Store B (11),5,2,a,1,0,1
,Store A (1) vs Store B (11),4,3,b,1,0,1
,Store A (1) vs Store B (11),3,2,a,1,0,1
4,Store A (1) vs Store B (13),4,3,a,1,0,1
,Store A (1) vs Store B (13),5,1,a,1,0,1
,Store A (1) vs Store B (13),4,2,a,1,0,1
,Store A (1) vs Store B (13),3,2,a,1,0,1
5,Store A (7) vs Store B (14),3,5,a,0,0,0
,Store A (7) vs Store B (14),3,2,b,0,0,0
,Store A (7) vs Store B (14),3,4,b,0,0,0
,Store A (7) vs Store B (14),4,3,b,0,0,0
,Store A (7) vs Store B (14),3,2,a,0,0,0
,Store A (7) vs Store B (14),4,2,b,0,0,0
6,Store A (2) vs Store B (16) ,4,4,a,1,1,1
,Store A (2) vs Store B (16) ,4,3,a,1,1,1
,Store A (2) vs Store B (16) ,5,3,a,1,1,1
7,Store A (6) vs Store B (13) ,5,3,a,1,1,0
,Store A (6) vs Store B (13) ,5,3,a,1,1,0
,Store A (6) vs Store B (13) ,4,4,a,1,1,0
1,Store A (1) vs Store B (16),4,3,b,1,0,1
,Store A (1) vs Store B (16),4,4,b,1,0,1
,Store A (1) vs Store B (16),4,2,a,1,0,1
2,Store A (1) vs Store B (10),2,4,b,1,0,1
,Store A (1) vs Store B (10),5,5,b,1,0,1
,Store A (1) vs Store B (10),3,5,b,1,0,1
,Store A (1) vs Store B (10),4,5,b,1,0,1
,Store A (1) vs Store B (10),4,5,b,1,0,1
,Store A (1) vs Store B (10),5,3,b,1,0,1
3,Store A (3) vs Store B (10),3,5,b,0,0,1
,Store A (3) vs Store B (10),3,4,b,0,0,1
,Store A (3) vs Store B (10),2,5,b,0,0,1
,Store A (3) vs Store B (10),5,3,b,0,0,1
,Store A (3) vs Store B (10),5,2,b,0,0,1
4,Store A (2) vs Store B (13),5,3,a,1,1,1
,Store A (2) vs Store B (13),5,2,a,1,1,1
,Store A (2) vs Store B (13),5,2,b,1,1,1
,Store A (2) vs Store B (13),5,4,a,1,1,1
5,Store A (8) vs Store B (11),2,4,a,0,1,0
,Store A (8) vs Store B (11),3,2,a,0,1,0
,Store A (8) vs Store B (11),5,3,a,0,1,0
,Store A (8) vs Store B (11),4,3,a,0,1,0
,Store A (8) vs Store B (11),4,5,b,0,1,0
,Store A (8) vs Store B (11),4,2,a,0,1,0
6,Store A (3) vs Store B (15),3,3,a,0,0,1
,Store A (3) vs Store B (15),4,3,a,0,0,1
,Store A (3) vs Store B (15),2,1,a,0,0,1
7,Store A (7) vs Store B (12),3,5,b,0,0,0
,Store A (7) vs Store B (12),4,3,b,0,0,0
,Store A (7) vs Store B (12),2,2,b,0,0,0
1,Store A (4) vs Store B (12),3,2,a,0,1,1
,Store A (4) vs Store B (12),4,2,a,0,1,1
,Store A (4) vs Store B (12),4,2,a,0,1,1
2,Store A (2) vs Store B (15),2,4,b,1,1,1
,Store A (2) vs Store B (15),5,5,a,1,1,1
,Store A (2) vs Store B (15),4,2,a,1,1,1
,Store A (2) vs Store B (15),5,3,a,1,1,1
,Store A (2) vs Store B (15),5,2,a,1,1,1
,Store A (2) vs Store B (15),5,1,a,1,1,1
3,Store A (2) vs Store B (14),5,4,a,1,1,1
,Store A (2) vs Store B (14),4,4,a,1,1,1
,Store A (2) vs Store B (14),5,4,a,1,1,1
,Store A (2) vs Store B (14),5,4,a,1,1,1
,Store A (2) vs Store B (14),5,4,a,1,1,1
4,Store A (3) vs Store B (9),3,5,b,0,0,1
,Store A (3) vs Store B (9),2,5,b,0,0,1
,Store A (3) vs Store B (9),2,4,b,0,0,1
,Store A (3) vs Store B (9),2,4,b,0,0,1
5,Store A (6) vs Store B (10),5,2,a,1,1,0
,Store A (6) vs Store B (10),4,4,a,1,1,0
,Store A (6) vs Store B (10),4,3,a,1,1,0
,Store A (6) vs Store B (10),4,3,a,1,1,0
,Store A (6) vs Store B (10),4,3,b,1,1,0
,Store A (6) vs Store B (10),2,4,b,1,1,0
6,Store A (4) vs Store B (13),4,3,a,0,1,1
,Store A (4) vs Store B (13),4,3,b,0,1,1
,Store A (4) vs Store B (13),3,2,b,0,1,1
7,Store A (8) vs Store B (9),5,3,a,0,1,0
,Store A (8) vs Store B (9),4,3,a,0,1,0
,Store A (8) vs Store B (9),2,4,b,0,1,0